scenario,seed,expected_status,actual_status,correct,expects_enhancement,used_enhancement,enhancement_correct,trace_steps,latency_ms,metric_focus_variance,metric_illumination_cv,metric_saturation_fraction,metric_edge_density,metric_foreground_fraction,metric_object_count
clean,0,accept,accept,True,False,False,True,1,46.963,786.6073136650375,0.02156890691887894,0.0,0.0126800537109375,0.0451202392578125,43
clean,1,accept,accept,True,False,False,True,1,49.341,812.7384146689292,0.025071306582519992,0.0,0.013195037841796875,0.046909332275390625,38
clean,2,accept,accept,True,False,False,True,1,47.802,739.9473584298394,0.019459211194405267,0.0,0.0113677978515625,0.039081573486328125,36
clean,3,accept,accept,True,False,False,True,1,42.79,792.522885023558,0.022406268702249408,0.0,0.01218414306640625,0.042453765869140625,43
clean,4,accept,accept,True,False,False,True,1,47.948,750.6310348412371,0.021113644364782132,0.0,0.011383056640625,0.039402008056640625,42
clean,5,accept,accept,True,False,False,True,1,46.858,762.5282665434643,0.02028253394242473,0.0,0.011325836181640625,0.039073944091796875,43
clean,6,accept,accept,True,False,False,True,1,45.903,767.3186407237663,0.01795541365117634,0.0,0.012516021728515625,0.043987274169921875,42
clean,7,accept,accept,True,False,False,True,1,44.062,810.8377832101978,0.026857976146468673,0.0,0.01259613037109375,0.04541778564453125,43
clean,8,accept,accept,True,False,False,True,1,39.131,900.7977363783284,0.028164190852327183,0.0,0.013385772705078125,0.048976898193359375,42
clean,9,accept,accept,True,False,False,True,1,45.231,780.0870399467967,0.023792240939832406,0.0,0.012195587158203125,0.04390716552734375,38
clean,10,accept,accept,True,False,False,True,1,46.871,724.662261929363,0.024203799159714028,0.0,0.010913848876953125,0.038677215576171875,35
clean,11,accept,accept,True,False,False,True,1,43.151,916.4131163710263,0.023636988492646727,0.0,0.013835906982421875,0.051300048828125,44
clean,12,accept,accept,True,False,False,True,1,46.325,767.6858824109659,0.024963558821852506,0.0,0.013217926025390625,0.047943115234375,41
clean,13,accept,accept,True,False,False,True,1,43.374,833.8810689259408,0.023949344245563022,0.0,0.013751983642578125,0.0495758056640625,43
clean,14,accept,accept,True,False,False,True,1,38.799,789.0827025877661,0.027076526435822184,0.0,0.0123291015625,0.04376220703125,41
clean,15,accept,accept,True,False,False,True,1,41.601,727.2803343385458,0.01872840950180212,0.0,0.0113525390625,0.039211273193359375,39
clean,16,accept,accept,True,False,False,True,1,38.086,798.7439799569547,0.024667726879273814,0.0,0.01184844970703125,0.04183197021484375,38
clean,17,accept,accept,True,False,False,True,1,53.542,793.8945716173475,0.02275464423778235,0.0,0.01134490966796875,0.040287017822265625,39
clean,18,accept,accept,True,False,False,True,1,43.248,836.0412592621869,0.021966208722549063,0.0,0.012359619140625,0.045551300048828125,41
clean,19,accept,accept,True,False,False,True,1,42.015,750.3069451218471,0.025278949031300017,0.0,0.011688232421875,0.0410614013671875,39
clean,20,accept,accept,True,False,False,True,1,44.111,852.2185628146253,0.02315604937564427,0.0,0.011943817138671875,0.043445587158203125,40
clean,21,accept,accept,True,False,False,True,1,38.847,888.2206947523518,0.026766040274921517,0.0,0.012722015380859375,0.0469512939453125,40
clean,22,accept,accept,True,False,False,True,1,38.084,755.170775700768,0.02062033681345463,0.0,0.0116424560546875,0.041774749755859375,42
clean,23,accept,accept,True,False,False,True,1,43.052,757.9505414586602,0.020745757888304784,0.0,0.01102447509765625,0.038059234619140625,43
clean,24,accept,accept,True,False,False,True,1,44.279,760.6290242326795,0.022461568645420198,0.0,0.0113372802734375,0.04120635986328125,35
blurred,0,request_recapture_focus,request_recapture_focus,True,False,False,True,1,45.105,0.7547569267771905,0.02132519261064569,0.0,0.0,0.054424285888671875,42
blurred,1,request_recapture_focus,request_recapture_focus,True,False,False,True,1,45.957,0.7525177001371048,0.024780033782598646,0.0,0.0,0.054653167724609375,37
blurred,2,request_recapture_focus,request_recapture_focus,True,False,False,True,1,50.63,0.6947784421499819,0.019168458011769748,0.0,0.0,0.048023223876953125,33
blurred,3,request_recapture_focus,request_recapture_focus,True,False,False,True,1,52.08,0.7429580687894486,0.022144374115601422,0.0,0.0,0.052215576171875,40
